date,store_id,region,product_category,units_sold,unit_price,discount_pct,gross_revenue,returns_pct,profit_margin,net_revenue
1/1/2025,Store_01,North,Electronics,43,199.81,0.21,6787.55,0.056,0.257,6407.45
1/1/2025,Store_01,North,Clothing,70,50.05,0.2,2802.8,0.01,0.263,2774.77
1/1/2025,Store_01,North,Groceries,210,12.62,0.16,2226.17,0.066,0.279,2079.24
1/1/2025,Store_01,North,Furniture,23,299.99,0.02,6761.77,0.066,0.273,6315.49
1/1/2025,Store_01,North,Sports,58,54.38,0.24,2397.07,0.071,0.276,2226.88
1/1/2025,Store_02,North,Electronics,43,199.99,0.01,8513.57,0.012,0.281,8411.41
1/1/2025,Store_02,North,Clothing,78,49.91,0.08,3581.54,0.03,0.282,3474.09
1/1/2025,Store_02,North,Groceries,211,12.52,0.12,2324.71,0.018,0.279,2282.87
1/1/2025,Store_02,North,Furniture,24,300.08,0.21,5689.52,0.064,0.275,5325.39
1/1/2025,Store_02,North,Sports,59,54.62,0.03,3125.9,0.016,0.276,3075.89
1/1/2025,Store_03,South,Electronics,43,200.06,0.18,7054.12,0.062,0.269,6616.76
1/1/2025,Store_03,South,Clothing,72,49.99,0.03,3491.3,0.053,0.282,3306.26
1/1/2025,Store_03,South,Groceries,192,12.45,0.16,2007.94,0.044,0.282,1919.59
1/1/2025,Store_03,South,Furniture,24,300.03,0.11,6408.64,0.017,0.276,6299.69
1/1/2025,Store_03,South,Sports,56,54.44,0.01,3018.15,0.023,0.276,2948.73
1/1/2025,Store_04,East,Electronics,44,200.07,0.2,7042.46,0.053,0.269,6669.21
1/1/2025,Store_04,East,Clothing,74,49.92,0.01,3657.14,0.007,0.265,3631.54
1/1/2025,Store_04,East,Groceries,206,12.43,0.13,2227.7,0.012,0.281,2200.97
1/1/2025,Store_04,East,Furniture,24,300.17,0.08,6627.75,0.05,0.256,6296.36
1/1/2025,Store_04,East,Sports,56,54.35,0.24,2313.14,0.073,0.267,2144.28
1/1/2025,Store_05,West,Electronics,43,200.09,0.19,6969.13,0.057,0.266,6571.89
1/1/2025,Store_05,West,Clothing,73,49.94,0.23,2807.13,0.036,0.256,2706.07
1/1/2025,Store_05,West,Groceries,206,12.41,0.04,2454.2,0.069,0.278,2284.86
1/1/2025,Store_05,West,Furniture,23,300.04,0.16,5796.77,0.047,0.272,5524.32
1/1/2025,Store_05,West,Sports,56,54.47,0.01,3019.82,0.04,0.282,2899.03
